2,47
10,97
6,79
5,61
3,60
1,27
9,100
3,55
6,37
2,45
1,38
5,59
5,63
8,99
5,64
5,53
9,50
10,89
0,71
7,73
0,30
2,57
6,100
1,25
4,56
9,67
2,51
6,84
10,97
5,64
4,62
8,74
4,59
8,85
3,47
1,41
4,44
1,22
6,80
3,44
0,36
0,41
5,78
7,75
0,35
6,77
9,85
9,81
6,66
5,65
8,80
2,38
8,84
2,53
0,40
3,48
1,39
5,39
8,77
3,47
6,76
7,79
10,100
7,71
4,51
3,51
4,56
4,64
1,34
4,53
4,60
4,60
8,75
5,58
5,70
4,60
3,48
9,86
8,84
3,59
8,88
0,30
5,68
1,41
6,34
3,47
8,74
9,95
1,34
9,91
1,38
9,90
2,52
9,83
8,88
0,15
3,48
4,55
9,87
6,63
